,layer,pre,post,pmax,sigma,rule,weight,synaptic_type
0,l6,exc,exc,0.76,100.0,gaussian,10,static_ExcToExc.json
1,l6,exc,pvalb,27.37,80.3,gaussian,10,static_ExcToInh.json
2,l6,exc,sst,44.88,28.84,exponential,10,static_ExcToInh.json
3,l6,exc,vip,0.1,10.0,exponential,10,static_ExcToInh.json
4,l6,pvalb,exc,31.01,100.0,gaussian,10,static_InhToExc.json
5,l6,pvalb,pvalb,47.64,100.0,gaussian,10,static_InhToInh.json
6,l6,pvalb,sst,3.05,100.0,gaussian,10,static_InhToInh.json
7,l6,pvalb,vip,6.97,100.0,exponential,10,static_InhToInh.json
8,l6,sst,exc,11.35,42.58,gaussian,10,static_InhToExc.json
9,l6,sst,pvalb,23.15,100.0,gaussian,10,static_InhToInh.json
10,l6,sst,sst,5.77,75.98,gaussian,10,static_InhToInh.json
11,l6,sst,vip,24.12,100.0,exponential,10,static_InhToInh.json
12,l6,vip,exc,0.1,10.0,exponential,10,static_InhToExc.json
13,l6,vip,pvalb,25.61,38.52,exponential,10,static_InhToInh.json
14,l6,vip,sst,11.24,100.0,exponential,10,static_InhToInh.json
15,l6,vip,vip,6.62,10.0,gaussian,10,static_InhToInh.json
16,l6,htr3a,exc,10.0,85.0,billeh,10,static_InhToExc.json
17,l6,htr3a,pvalb,5.0,120.0,billeh,10,static_InhToInh.json
18,l6,htr3a,sst,5.0,120.0,billeh,10,static_InhToInh.json
19,l6,htr3a,vip,3.0,120.0,billeh,10,static_InhToInh.json
20,l6,htr3a,htr3a,3.0,120.0,billeh,10,static_InhToInh.json
21,l6,exc,htr3a,10.0,103.0,billeh,10,static_ExcToInh.json
22,l6,pvalb,htr3a,8.0,120.0,billeh,10,static_InhToInh.json
23,l6,sst,htr3a,5.0,120.0,billeh,10,static_InhToInh.json
24,l6,vip,htr3a,5.0,120.0,billeh,10,static_InhToInh.json
